,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
324,2012,36.4N,41.5E,26.8,18.5,0.8,2.0,-18.4,133000000000.0,0.39
325,2012,,,,,,,,24000000000.0,0.086
326,2012,41.8S,36.2W,,,,,,60000000000.0,0.19
327,2012,,,,,,,,211000000000.0,0.59
328,2012,61.8S,135.5W,33.3,17.1,-0.8,1.1,17.0,132000000000.0,0.39
329,2012,76.7N,10.6W,,,,,,229000000000.0,0.63
330,2012,36.2N,107.4E,25.2,,,,,44000000000.0,0.15
331,2012,15.8S,174.8W,,,,,,143000000000.0,0.42
332,2012,5.5N,16.8E,,,,,,30000000000.0,0.1
333,2012,28.1N,95.2W,,,,,,32000000000.0,0.11
334,2012,2.5N,139.8E,25.0,11.8,0.1,-11.8,0.3,99000000000.0,0.3
335,2012,7.8N,2.7E,20.4,,,,,101000000000.0,0.31
