,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
188,2016,26.2N,122.3W,33,,,,,1.01E+11,0.31
189,2016,9.8N,42.8W,50,,,,,1.46E+11,0.42
190,2016,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,2.24E+11,0.62
191,2016,38.3N,162.2E,,,,,,20000000000,0.073
192,2016,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,6.55E+11,1.6
193,2016,49.2S,6.3W,42,13.3,-7.6,9.1,6,32000000000,0.11
194,2016,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,58000000000,0.19
195,2016,32.3N,67.2E,44,17.9,-8.5,-1.6,-15.7,35000000000,0.12
196,2016,36.5N,37.2W,32,,,,,3.69E+11,0.96
197,2016,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,2.02E+11,0.56
198,2016,30.4S,25.5W,31,15.6,2.7,14.5,5,6.85E+12,13
199,2016,45.8S,53.6E,37,11.5,-10,-4.4,3.6,50000000000,0.16
200,2016,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,46000000000,0.15
201,2015,33.8N,160.7W,39,,,,,22000000000,0.079
202,2015,5.9N,143.0E,42.2,12.1,6.4,-10,2.5,83000000000,0.26
203,2015,69.9S,150.5E,38,,,,,1.97E+11,0.55
204,2015,16.0N,124.3E,28,,,,,1.02E+11,0.31
205,2015,41.4S,33.0E,37,,,,,78000000000,0.24
206,2015,9.0N,138.0W,71,,,,,97000000000,0.29
207,2015,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,23000000000,0.082
208,2015,55.4S,18.8W,,,,,,30000000000,0.1
209,2015,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,36000000000,0.12
210,2015,22.0N,171.6W,36.1,,,,,44000000000,0.15
211,2015,43.1S,94.9E,,,,,,98000000000,0.3
212,2015,5.8N,15.2W,,,,,,70000000000,0.22
213,2015,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,20000000000,0.073
214,2015,14.5N,98.9E,29.3,21,16.8,-12,-3.8,1.8E+12,3.9
215,2015,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,37000000000,0.13
216,2015,20.6N,87.6W,22,17.8,9.4,13,7.8,23000000000,0.082
217,2015,31.0N,159.6E,41,,,,,22000000000,0.079
218,2015,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,56000000000,0.18
219,2015,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,71000000000,0.22
220,2015,1.3S,32.1W,43.5,,,,,1.76E+11,0.5
221,2015,11.5S,161.9W,61.1,,,,,3.84E+11,1
222,2015,6.4S,142.7W,,,,,,3.8E+11,0.99
223,2015,1.0N,172.6E,32.4,,,,,36000000000,0.12
224,2015,32.4N,139.1E,29,,,,,43000000000,0.14
225,2015,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,1.43E+11,0.42
226,2015,21.5S,29.3W,37,17.3,-16.2,-5.8,1.4,52000000000,0.17
